"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2000","2000",8011.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2001","2001",8042.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2002","2002",8082,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2003","2003",8121.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2004","2004",8172,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2005","2005",8227.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2006","2006",8268.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2007","2007",8295.5,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2008","2008",8321.5,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2009","2009",8343.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2010","2010",8363.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2011","2011",8391.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2012","2012",8430,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2013","2013",8479.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","AUT","Austria","2014","2014",8546.4,,
